Tipo de dato;Comunidades autónomas;Periodo;Total
Dato base;10 Comunitat Valenciana;2025M01;600.146
Dato base;10 Comunitat Valenciana;2024M12;666.938
Dato base;10 Comunitat Valenciana;2024M11;680.112
Dato base;10 Comunitat Valenciana;2024M10;1.134.131
Dato base;10 Comunitat Valenciana;2024M09;1.194.994
Dato base;10 Comunitat Valenciana;2024M08;1.469.110
Dato base;10 Comunitat Valenciana;2024M07;1.474.120
Dato base;10 Comunitat Valenciana;2024M06;1.117.852
Dato base;10 Comunitat Valenciana;2024M05;1.150.006
Dato base;10 Comunitat Valenciana;2024M04;1.003.867
Dato base;10 Comunitat Valenciana;2024M03;824.971
Dato base;10 Comunitat Valenciana;2024M02;582.504
Dato base;10 Comunitat Valenciana;2024M01;616.365
Dato base;10 Comunitat Valenciana;2023M12;712.546
Dato base;10 Comunitat Valenciana;2023M11;653.407
Dato base;10 Comunitat Valenciana;2023M10;1.033.167
Dato base;10 Comunitat Valenciana;2023M09;1.042.340
Dato base;10 Comunitat Valenciana;2023M08;1.272.665
Dato base;10 Comunitat Valenciana;2023M07;1.332.110
Dato base;10 Comunitat Valenciana;2023M06;937.202
Dato base;10 Comunitat Valenciana;2023M05;1.001.303
Dato base;10 Comunitat Valenciana;2023M04;866.776
Dato base;10 Comunitat Valenciana;2023M03;660.566
Dato base;10 Comunitat Valenciana;2023M02;481.913
Dato base;10 Comunitat Valenciana;2023M01;480.171
Dato base;10 Comunitat Valenciana;2022M12;513.864
Dato base;10 Comunitat Valenciana;2022M11;519.058
Dato base;10 Comunitat Valenciana;2022M10;865.642
Dato base;10 Comunitat Valenciana;2022M09;937.745
Dato base;10 Comunitat Valenciana;2022M08;1.057.976
Dato base;10 Comunitat Valenciana;2022M07;1.126.932
Dato base;10 Comunitat Valenciana;2022M06;850.991
Dato base;10 Comunitat Valenciana;2022M05;793.403
Dato base;10 Comunitat Valenciana;2022M04;785.176
Dato base;10 Comunitat Valenciana;2022M03;491.399
Dato base;10 Comunitat Valenciana;2022M02;393.393
Dato base;10 Comunitat Valenciana;2022M01;280.868
Dato base;10 Comunitat Valenciana;2021M12;381.422
Dato base;10 Comunitat Valenciana;2021M11;384.253
Dato base;10 Comunitat Valenciana;2021M10;641.582
Dato base;10 Comunitat Valenciana;2021M09;641.919
Dato base;10 Comunitat Valenciana;2021M08;754.050
Dato base;10 Comunitat Valenciana;2021M07;607.165
Dato base;10 Comunitat Valenciana;2021M06;271.231
Dato base;10 Comunitat Valenciana;2021M05;141.587
Dato base;10 Comunitat Valenciana;2021M04;71.493
Dato base;10 Comunitat Valenciana;2021M03;46.945
Dato base;10 Comunitat Valenciana;2021M02;28.152
Dato base;10 Comunitat Valenciana;2021M01;49.970
Dato base;10 Comunitat Valenciana;2020M12;71.873
Dato base;10 Comunitat Valenciana;2020M11;53.870
Dato base;10 Comunitat Valenciana;2020M10;177.332
Dato base;10 Comunitat Valenciana;2020M09;185.154
Dato base;13 Madrid, Comunidad de;2025M06;777.453
Dato base;13 Madrid, Comunidad de;2025M05;880.963
Dato base;13 Madrid, Comunidad de;2025M04;838.038
Dato base;13 Madrid, Comunidad de;2025M03;721.110
Dato base;13 Madrid, Comunidad de;2025M02;643.607
Dato base;13 Madrid, Comunidad de;2025M01;704.362
Dato base;13 Madrid, Comunidad de;2024M12;601.530
Dato base;13 Madrid, Comunidad de;2024M11;718.290
Dato base;13 Madrid, Comunidad de;2024M10;863.874
Dato base;13 Madrid, Comunidad de;2024M09;817.484
Dato base;13 Madrid, Comunidad de;2024M08;638.979
Dato base;13 Madrid, Comunidad de;2024M07;742.294
Dato base;13 Madrid, Comunidad de;2024M06;843.657
Dato base;13 Madrid, Comunidad de;2024M05;879.339
Dato base;13 Madrid, Comunidad de;2024M04;813.678
Dato base;13 Madrid, Comunidad de;2024M03;712.222
Dato base;13 Madrid, Comunidad de;2024M02;584.792
Dato base;13 Madrid, Comunidad de;2024M01;608.661
Dato base;13 Madrid, Comunidad de;2023M12;605.809
Dato base;13 Madrid, Comunidad de;2023M11;673.552
Dato base;13 Madrid, Comunidad de;2023M10;822.942
Dato base;13 Madrid, Comunidad de;2023M09;769.335
Dato base;13 Madrid, Comunidad de;2023M08;625.174
Dato base;13 Madrid, Comunidad de;2023M07;664.448
Dato base;13 Madrid, Comunidad de;2023M06;745.111
Dato base;13 Madrid, Comunidad de;2023M05;706.226
Dato base;13 Madrid, Comunidad de;2023M04;666.477
Dato base;13 Madrid, Comunidad de;2023M03;594.544
Dato base;13 Madrid, Comunidad de;2023M02;453.650
Dato base;13 Madrid, Comunidad de;2023M01;518.799
Dato base;13 Madrid, Comunidad de;2022M12;440.604
Dato base;13 Madrid, Comunidad de;2022M11;540.723
Dato base;13 Madrid, Comunidad de;2022M10;688.660
Dato base;13 Madrid, Comunidad de;2022M09;602.463
Dato base;13 Madrid, Comunidad de;2022M08;447.380
Dato base;13 Madrid, Comunidad de;2022M07;626.638
Dato base;13 Madrid, Comunidad de;2022M06;605.892
Dato base;13 Madrid, Comunidad de;2022M05;571.014
Dato base;13 Madrid, Comunidad de;2022M04;546.380
Dato base;13 Madrid, Comunidad de;2022M03;447.532
Dato base;13 Madrid, Comunidad de;2022M02;282.914
Dato base;13 Madrid, Comunidad de;2022M01;247.982
Dato base;13 Madrid, Comunidad de;2021M12;292.788
Dato base;13 Madrid, Comunidad de;2021M11;375.608
Dato base;13 Madrid, Comunidad de;2021M10;362.704
Dato base;13 Madrid, Comunidad de;2021M09;258.228
Dato base;13 Madrid, Comunidad de;2021M08;231.016
Dato base;13 Madrid, Comunidad de;2021M07;219.112
Dato base;13 Madrid, Comunidad de;2021M06;139.091
Dato base;13 Madrid, Comunidad de;2021M05;86.696
Dato base;13 Madrid, Comunidad de;2021M04;65.324
Dato base;13 Madrid, Comunidad de;2021M03;69.319
Dato base;13 Madrid, Comunidad de;2021M02;31.596
Dato base;13 Madrid, Comunidad de;2021M01;45.585
Dato base;13 Madrid, Comunidad de;2020M12;47.914
Dato base;13 Madrid, Comunidad de;2020M11;45.352
Dato base;13 Madrid, Comunidad de;2020M10;39.638
Dato base;13 Madrid, Comunidad de;2020M09;48.085
Dato base;Otras Comunidades Autónomas;2025M06;778.733
Dato base;Otras Comunidades Autónomas;2025M05;865.181
Dato base;Otras Comunidades Autónomas;2025M04;804.687
Dato base;Otras Comunidades Autónomas;2025M03;609.387
Dato base;Otras Comunidades Autónomas;2025M02;487.969
Dato base;Otras Comunidades Autónomas;2025M01;482.841
Dato base;Otras Comunidades Autónomas;2024M12;618.244
Dato base;Otras Comunidades Autónomas;2024M11;564.394
Dato base;Otras Comunidades Autónomas;2024M10;836.938
Dato base;Otras Comunidades Autónomas;2024M09;857.614
Dato base;Otras Comunidades Autónomas;2024M08;1.324.991
Dato base;Otras Comunidades Autónomas;2024M07;1.093.568
Dato base;Otras Comunidades Autónomas;2024M06;734.505
Dato base;Otras Comunidades Autónomas;2024M05;804.979
Dato base;Otras Comunidades Autónomas;2024M04;699.093
Dato base;Otras Comunidades Autónomas;2024M03;528.286
Dato base;Otras Comunidades Autónomas;2024M02;444.012
Dato base;Otras Comunidades Autónomas;2024M01;465.290
Dato base;Otras Comunidades Autónomas;2023M12;706.000
Dato base;Otras Comunidades Autónomas;2023M11;400.949
Dato base;Otras Comunidades Autónomas;2023M10;677.660
Dato base;Otras Comunidades Autónomas;2023M09;776.602
Dato base;Otras Comunidades Autónomas;2023M08;1.245.521
Dato base;Otras Comunidades Autónomas;2023M07;958.417
Dato base;Otras Comunidades Autónomas;2023M06;642.077
Dato base;Otras Comunidades Autónomas;2023M05;691.250
Dato base;Otras Comunidades Autónomas;2023M04;657.610
Dato base;Otras Comunidades Autónomas;2023M03;479.699
Dato base;Otras Comunidades Autónomas;2023M02;430.494
Dato base;Otras Comunidades Autónomas;2023M01;434.160
Dato base;Otras Comunidades Autónomas;2022M12;474.324
Dato base;Otras Comunidades Autónomas;2022M11;374.930
Dato base;Otras Comunidades Autónomas;2022M10;552.788
Dato base;Otras Comunidades Autónomas;2022M09;657.741
Dato base;Otras Comunidades Autónomas;2022M08;924.577
Dato base;Otras Comunidades Autónomas;2022M07;917.266
Dato base;Otras Comunidades Autónomas;2022M06;541.200
Dato base;Otras Comunidades Autónomas;2022M05;594.835
Dato base;Otras Comunidades Autónomas;2022M04;529.446
Dato base;Otras Comunidades Autónomas;2022M03;351.414
Dato base;Otras Comunidades Autónomas;2022M02;341.284
Dato base;Otras Comunidades Autónomas;2022M01;341.019
Dato base;Otras Comunidades Autónomas;2021M12;365.114
Dato base;Otras Comunidades Autónomas;2021M11;337.991
Dato base;Otras Comunidades Autónomas;2021M10;457.681
Dato base;Otras Comunidades Autónomas;2021M09;459.367
Dato base;Otras Comunidades Autónomas;2021M08;558.972
Dato base;Otras Comunidades Autónomas;2021M07;467.556
Dato base;Otras Comunidades Autónomas;2021M06;228.145
Dato base;Otras Comunidades Autónomas;2021M05;175.317
Dato base;Otras Comunidades Autónomas;2021M04;81.785
Dato base;Otras Comunidades Autónomas;2021M03;72.301
Dato base;Otras Comunidades Autónomas;2021M02;54.694
Dato base;Otras Comunidades Autónomas;2021M01;105.428
Dato base;Otras Comunidades Autónomas;2020M12;141.951
Dato base;Otras Comunidades Autónomas;2020M11;68.811
Dato base;Otras Comunidades Autónomas;2020M10;208.085
Dato base;Otras Comunidades Autónomas;2020M09;239.540
